Trace,Policy,Cores,Size,Ways,IPC,Cycles,L1_Miss_Rate,L2_Miss_Rate,LLC_Miss_Rate,LLC_Hit_Rate,LLC_MPKI,LLC_Writes
403.gcc-16B.champsimtrace.xz,adaptive_hcit,1core,4MB,16way,3.5564999999999998,8554548,0.7445961122458978,0.31584876348655716,0.003216717196540934,0.9967832828034591,0.1983,305807
403.gcc-16B.champsimtrace.xz,adaptive_hcit,1core,8MB,16way,3.5564999999999998,8554548,0.7445961122458978,0.31584876348655716,0.003216717196540934,0.9967832828034591,0.1983,305807
403.gcc-16B.champsimtrace.xz,lru,1core,1MB,16way,3.5564999999999998,8554548,0.7445961122458978,0.31584876348655716,0.003216717196540934,0.9967832828034591,0.1983,305807
403.gcc-16B.champsimtrace.xz,lru,1core,2MB,16way,3.5564999999999998,8554548,0.7445961122458978,0.31584876348655716,0.003216717196540934,0.9967832828034591,0.1983,305807
403.gcc-16B.champsimtrace.xz,lru,1core,2MB,8way,3.5561000000000007,8555500,0.7445961122458978,0.31584876348655716,0.0032264500776197267,0.9967735499223803,0.1989,305807
403.gcc-16B.champsimtrace.xz,lru,1core,4MB,16way,3.5564999999999998,8554548,0.7445961122458978,0.31584876348655716,0.003216717196540934,0.9967832828034591,0.1983,305807
403.gcc-16B.champsimtrace.xz,lru,1core,8MB,16way,3.5564999999999998,8554548,0.7445961122458978,0.31584876348655716,0.003216717196540934,0.9967832828034591,0.1983,305807
403.gcc-16B.champsimtrace.xz,mru,1core,1MB,16way,3.55556,8556890,0.744609581926968,0.31584876348655716,0.003855843054048311,0.9961441569459517,0.2377,305807
403.gcc-16B.champsimtrace.xz,mru,1core,2MB,16way,3.5564999999999998,8554548,0.7445961122458978,0.31584876348655716,0.003216717196540934,0.9967832828034591,0.1983,305807
403.gcc-16B.champsimtrace.xz,mru,1core,2MB,8way,3.5514900000000003,8566951,0.74468591932578,0.31584876348655716,0.0068097724614618466,0.9931902275385381,0.4198,305807
403.gcc-16B.champsimtrace.xz,mru,1core,4MB,16way,3.5564999999999998,8554548,0.7445961122458978,0.31584876348655716,0.003216717196540934,0.9967832828034591,0.1983,305807
403.gcc-16B.champsimtrace.xz,mru,1core,8MB,16way,3.5564999999999998,8554548,0.7445961122458978,0.31584876348655716,0.003216717196540934,0.9967832828034591,0.1983,305807
403.gcc-16B.champsimtrace.xz,random,1core,1MB,16way,3.5556800000000006,8556503,0.7445972347007073,0.31584876348655716,0.003377309734341011,0.996622690265659,0.2082,305807
403.gcc-16B.champsimtrace.xz,random,1core,2MB,16way,3.5564999999999998,8554548,0.7445961122458978,0.31584876348655716,0.003216717196540934,0.9967832828034591,0.1983,305807
403.gcc-16B.champsimtrace.xz,random,1core,2MB,8way,3.5475899999999996,8576085,0.7448611054561028,0.33853037703391314,0.0037214424674071227,0.9962785575325929,0.246,328065
403.gcc-16B.champsimtrace.xz,random,1core,4MB,16way,3.55496,8558275,0.7446017245537868,0.3158406298674627,0.0032168006865103634,0.9967831993134897,0.1983,305799
403.gcc-16B.champsimtrace.xz,random,1core,8MB,16way,3.5532500000000002,8562220,0.7445815206413237,0.31717454339895806,0.0032031711879355294,0.9967968288120644,0.1983,307110
450.soplex-92B.champsimtrace.xz,adaptive_hcit,1core,1MB,16way,1.028225,30523036,0.21231553778186302,0.5552565223359752,0.6621620364988957,0.3378379635011043,28.4829,122784
450.soplex-92B.champsimtrace.xz,adaptive_hcit,1core,2MB,16way,1.1032540000000002,28368844,0.21167471359597748,0.5552039419259516,0.5642135071795253,0.43578649282047466,24.2675,122773
450.soplex-92B.champsimtrace.xz,adaptive_hcit,1core,2MB,8way,1.028062,30507064,0.21248472320881,0.5552372523165291,0.680668596203694,0.319331403796306,29.2793,122802
450.soplex-92B.champsimtrace.xz,adaptive_hcit,1core,4MB,16way,1.2525199999999999,24926349,0.2102011221463504,0.55525712603339,0.43446279742877403,0.565537202571226,18.6882,122776
450.soplex-92B.champsimtrace.xz,adaptive_hcit,1core,8MB,16way,1.424442,21689314,0.20950835575528068,0.5552591318860554,0.34208850018365855,0.6579114998163414,14.7148,122777
